Vocab,ไทย,Japanese,gosho number,Reference,,,,,,,,,,,,,,,,,,,,,
cyclical sign kinoto-i,ปีจักรราศีคิโนะโตะ อิ,,258,,,,,,,,,,,,,,,,,,,,,,
"the first year of Bunnō era (1260), with the cyclical sign kanoe-saru",ปีบุนโนที่ 1 (ค.ศ. 1260) ปีจักรราศี คาโนะเอะ-ซารุ,,2 (postscript),,,,,,,,,,,,,,,,,,,,,,
"the first year of the Shōka era, cyclical sign hinoto-mi",ปีโชกะที่ 1 ปีจักรราศี ฮิโนะโตะ-มิ ,,2 (postscript),,,,,,,,,,,,,,,,,,,,,,
"Bun’ei era (1264), cyclical sign kinoe-ne",ปีบุนเอที่ 1 (ค.ศ. 1264) ปีจักรราศี คิโนะเอะ-เนะ ,,2 (postscript),,,,,,,,,,,,,,,,,,,,,,
"the fifth year of Bun’ei, cyclical sign tsuchinoe-tatsu",ปีบุนเอที่ 5 (ค.ศ. 1268) ปีจักรราศี จึชิโนะเอะ-ทะจึ,,2 (postscript),,,,,,,,,,,,,,,,,,,,,,
"the sixth year of Bun’ei (1269), cyclical sign tsuchinoto-mi",ปีบุนเอที่ 6 (ค.ศ. 1269) ปีจักรราศี จึชิโนะโตะ-มิ,,2 (postscript),,,,,,,,,,,,,,,,,,,,,,
"the eighth year of Bun’ei (1271), cyclical sign kanoto-hitsuji",ปีบุนเอที่ 8 (ค.ศ. 1271) ปีจักรราศี คาโนะโตะ-ฮิจึจิ,,24,,,,,,,,,,,,,,,,,,,,,,
"the eighth year of Bun’ei (1271), cyclical sign kanoto-hitsuji",ปีบุนเอที่ 8 (ค.ศ. 1271) ปีจักรราศี คาโนโตะ-ฮิจึจิ,,26,,,,,,,,,,,,,,,,,,,,,,
"the ninth year of Bun’ei (1272), cyclical sign mizunoe-saru",ปีบุนเอที่ 9 (ค.ศ. 1272) ปีจักรราศี มิสึโนะเอะ- ซารุ,,31,,,,,,,,,,,,,,,,,,,,,,
"the ninth year of Bun’ei (1272), cyclical sign mizunoe-saru",ปีบุนเอที่ 9 (ค.ศ. 1272) ปีจักรราศี มิสุโนะเอะ-ซารุ,,32,,,,,,,,,,,,,,,,,,,,,,
"the second year of Kenji (1276), cyclical sign hinoe-ne",ปีเคนจิที่ 2 (ค.ศ. 1276) ปีจักรราศี ฮิโนเอเนะ,,89,,,,,,,,,,,,,,,,,,,,,,
"the third year of Kenji (1277), cyclical sign hinoto-ushi",ปีเค็นจิที่ 3 (ค.ศ. 1277) ปีจักรราศี ฮิโนะโตะ อุชิ,,100,,,,,,,,,,,,,,,,,,,,,,
"the first year of Kōan (1278), cyclical sign tsuchinoe-tora",ปีโคอันที่ 1 (ค.ศ. 1278) ปีจักรราศี จึชิโนะเอะ-โทระ,,128,,,,,,,,,,,,,,,,,,,,,,
"the first year of Kenji [1275], cyclical sign kinoto-i",ปีเคนจิที่ 1 (ค.ศ. 1275) ปีจักรราศี คิโนะโตะ อิ,,258,,,,,,,,,,,,,,,,,,,,,,
" the tenth of the Yung-p’ing era (c.e. 67), cyclical sign hinoto-u",ปีที่ 10 ของยุคหย่งผิง (ค.ศ.67) ปีจักรราศี ฮิโนะโตะ-อุ,,"7, 14",,,,,,,,,,,,,,,,,,,,,,
"the eighteenth year of the K’ai-yüan era (c.e. 730), cyclical sign kanoe-uma",ปีที่ 18 ของยุคไคหยวน (ค.ศ. 730) ปีจักรราศี คาโนะเอะ-อุมะ ,,"7, 14",,,,,,,,,,,,,,,,,,,,,,
"the first year of Bun’ei (1264), cyclical sign kinoe-ne",ปีบุนเอที่ 1 (ค.ศ.1264) ปีจักรราศี คิโนะเอะ-เนะ,,9,,,,,,,,,,,,,,,,,,,,,,
cyclical sign tsuchinoe-uma,ปีจักรราศี จึชิโนะเอะ-อุมะ ,,16,,,,,,,,,,,,,,,,,,,,,,
"the second year of Kōchō (1262), cyclical sign mizunoe-inu",ปีโคโจที่ 2 (ค.ศ.1262)  ปีจักรราศี มิสึโนะเอะ-อินุ,,6,,,,,,,,,,,,,,,,,,,,,,
the second month of the year with the cyclical sign mizunoe-saru,วันที่ 15 เดือน 2 ปีจักรราศี มิสุโนะเอะ-ซารุ,,14,,,,,,,,,,,,,,,,,,,,,,
cyclical sign hinoto-u,ปีจักรราศี ฮิโนะโตะ-อุ ,,14,,,,,,,,,,,,,,,,,,,,,,
"the third year of Bun’ei (1266),cyclical sign hinoe-tora","วันที่ 6 เดือน 1 ปีบุนเอที่ 3 (ค.ศ. 1266) 
ปีจักรราศี ฮิโนะเอะ-โทระ",,14,,,,,,,,,,,,,,,,,,,,,,
cyclical sign hinoto-mi,ปีจักรราศี ฮิโนะโตะ-มิ ,,16,,,,,,,,,,,,,,,,,,,,,,
cyclical sign tsuchinoe-uma,ปีจักรราศี จึชิโนะเอะ-อุมะ,,16,,,,,,,,,,,,,,,,,,,,,,
cyclical sign tsuchinoto-hitsuji,ปีจักรราศี จึชิโนะโตะ-ฮิจึจิ ,,16,,,,,,,,,,,,,,,,,,,,,,
cyclical sign kanoe-saru,ปีจักรราศี คาโนะเอะ-ซารุ,,16,,,,,,,,,,,,,,,,,,,,,,
"The fifth day of the fourth month in the fifth year of Bun’ei (1268),cyclical sign tsuchinoe-tatsu","
วันที่ 5 เดือน 4 ปีบุนเอที่ 5 (ค.ศ. 1268) ปีจักรราศี  จึชิโนะเอะ-ทะจึ

",,16,,,,,,,,,,,,,,,,,,,,,,
"The ninth day of the tenth month in the eighth year of Bun’ei (1271), cyclical sign kanoto-hitsuji ",วันที่ 9 เดือน 10 ปีบุนเอที่ 8 (ค.ศ. 1271) ปีจักรราศี คาโนะโตะ-ฮิจึจิ,,26,,,,,,,,,,,,,,,,,,,,,,
"The eleventh day of the second month in the ninth year of Bun’ei (1272), cyclical sign mizunoe-saru ",วันที่ 11 เดือน 2 ปีบุนเอที่ 9 (ค.ศ. 1272) ปีจักรราศี มิสุโนเอะ-ซารุ ,,29,,,,,,,,,,,,,,,,,,,,,,
cyclical sign kinoe-tora,ปีจักรราศี คิโนะเอะ-โทระ,,30,,,,,,,,,,,,,,,,,,,,,,
cyclical sign hinoto-u,ปีจักรราศี ฮิโนะโตะ-อุ,,30,,,,,,,,,,,,,,,,,,,,,,
"The thirteenth day of the third month in the ninth year of Bun’ei (1272), cyclical sign mizunoe-saru",วันที่ 13 เดือน 3 ปีบุนเอที่ 9 (ค.ศ. 1272) ปีจักรราศี มิสุโนะเอะ-ซารุ,,31,,,,,,,,,,,,,,,,,,,,,,
"The twenty-fifth day of the fifth month in the ninth year of Bun’ei (1272), cyclical sign mizunoe-saru
To the Sage Nichimyō","วันที่ 25 เดือน 5 ปีบุนเอที่ 9 (ค.ศ. 1272) 
ปีจักรราศี มิสุโนะเอะ-ซารุ
ถึง อริยบุคคลนิชิเมียว",,36,,,,,,,,,,,,,,,,,,,,,,
"the third year of the Jōkyū era (1221), the year with the cyclical sign kanoto-mi",ปีที่ 3 ของสมัยโจคิว (ค.ศ. 1221) ปีจักรราศี คาโนะโตะ-มิ,,38,,,,,,,,,,,,,,,,,,,,,,
"the tenth year of Bun’ei (1273), with the cyclical sign mizunoto-tori","วันที่ 26 เดือน 4 ปีบุนเอที่ 10 (ค.ศ.1273) 
ปีจักรราศี มิสุโนะโตะ-โตะริ",,39,,,,,,,,,,,,,,,,,,,,,,
"The fifth month of the tenth year of Bun’ei (1273), cyclical sign mizunoto-tori","เดือน 5 ปีบุนเอที่ 10 (ค.ศ. 1273)
ปีจักรราศี มิสุโนะโตะ-โตะริ",,42,,,,,,,,,,,,,,,,,,,,,,
"The eleventh day of the intercalary fifth month in the tenth year of Bun’ei (1273), with the cyclical sign mizunoto-tori","วันที่ 11 เดือน 5 อธิกมาส ปีบุนเอที่ 10 (ค.ศ. 1273)
ปีจักรราศี มิสุโนะโตะ-โตะริ",,43,,,,,,,,,,,,,,,,,,,,,,
"The third day of the eighth month in the tenth year of Bun’ei (1273), with the cyclical sign mizunoto-tori",วันที่ 3 เดือน 8 ปีบุนเอที่ 10 (ค.ศ. 1273) ปีจักรราศี มิสุโนะโตะ-โตะริ,,44,,,,,,,,,,,,,,,,,,,,,,
"the cyclical sign hinoto-mi, on the twenty-third day of the eighth month, 
the cyclical sign kinoe-ne, on the fourth day of the seventh month","ปีจักรราศี ฮิโนะโตะ–มิ วันที่ 23 เดือน 8 
ปีจักรราศี คิโนะเอะ-เนะ วันที่ 4 เดือน 7",,48,,,,,,,,,,,,,,,,,,,,,,
"on the sixteenth day of the seventh month in the first year of the Bunnō era (1260), with the cyclical sign kanoe-saru, 

",วันที่ 16 เดือน 7 ปีบุนโนที่ 1 (ค.ศ. 1260) ปีจักรราศี คาโนะเอะ-ซารุ ,,48,,,,,,,,,,,,,,,,,,,,,,
"The fourteenth day of the first month in the eleventh year of Bun’ei (1274), cyclical sign kinoe-inu","วันที่ 14 เดือน 1 ปีบุนเอที่ 11 (ค.ศ. 1274) 
ปีจักรราศี คิโนะเอะ-อินุ.",,49,,,,,,,,,,,,,,,,,,,,,,
