Lotus Sutra,Chapter name,paragraph number,page number (English),หน้า (ไทย),English,ไทย,ref/note - to be edited,,,,,,,,,,,,,,,,,,,
1,Translator’s Introduction / คํานําของผู้แปลฉบับภาษาอังกฤษ,TI-001,,i,"The Lotus Sutra is one of the most important and influential of all the sutras or sacred scriptures of Mahayana Buddhism, revered by almost all branches of the Mahayana teachings, and over many centuries the object of intense veneration among Buddhist believers throughout China, Korea, Japan, and other regions of eastern Asia.",สัทธรรมปุณฑริกสูตรเป็นพระสูตรที่สําคัญและทรงอิทธิพลที่สุด ในบรรดาพระสูตรหรือคัมภีร์ศักดิสิทธิ์ของพุทธศาสนานิกายมหายาน ได้รับความเคารพนับถือจากคําสอนมหายาน เกือบทุกสาขา และตลอดระยะเวลาหลายศตวรรษมาแล้ว พระสูตรนี้ ได้เป็นที่เคารพนับถืออย่าง จริงจังของบรรดาพุทธศาสนิกชนทั่วประเทศจีน เกาหลี ญี่ปุ่น และ ภูมิภาคอื่นๆ ในเอเชียตะวันออก,อ้างอิงใน gosho,,,,,,,,,,,,,,,,,,,
1,Translator’s Introduction / คํานําของผู้แปลฉบับภาษาอังกฤษ,TI-002,,i,"We do not know where or when the Lotus Sutra was composed, or in what language. Probably it was initially formulated in a local Indian dialect and then later put into Sanskrit to lend it greater respectability. All we can say for certain about the date of its composition is that it was already in existence by 255 ce, when the first Chinese translation of it was made. It was translated into Chinese several times subsequently, but it is through the version done in 406 by the Central Asian scholar-monk Kumarajiva that it has become widely known and read in China and the other countries within the Chinese cultural sphere of influence. This version has been universally acknowledged as the most authoritative and felicitous in language, and it is from this version that the present English translation has been made.",เรายังทราบไม่ได้แน่ชัดว่า สัทธรรมปุณฑริกสูตรนี้ แต่งขึ้นที่ไหนหรือเมื่อใด หรือด้วยภาษาอะไร เป็นไปได้ว่า ในตอนแรก ๆ อาจจะแสดงออกมาในรูปพระสูตรโดยใช้ภาษาท้องถิ่นบางแห่งของอินเดียหรือเอเชียกลาง และแล้วต่อมาจึงได้ใช้ภาษาสันสกฤตเพื่อที่จะให้ได้รับความน่านับถือมากขึ้น แต่ทั้งหมดเราสามารถพูดได้แน่นอนเกี่ยวกับสมัยที่พระสูตรนี้ได้ถูกรวบรวมขึ้นมา คือว่า พระสูตรนี้ฉบับภาษาสันสกฤตได้มีอยู่แล้วในปี ค.ศ. ๒๕๕ เพราะในปีนั้นได้มีการแปลสัทธรรมปุณฑริกสูตรภาษาสันสกฤตเป็นภาษาจีนเป็นครั้งแรก และได้ถูกแปลเป็นภาษาจีนอีกหลายครั้งในเวลาต่อมา แต่ฉบับที่แปลในปี ค.ศ. ๔๐๖ โดยพระกุมารชีวะ ภิกษุผู้คงแก่เรียนจากเอเชียกลางนั้น เป็นฉบับที่รู้จักและอ่านกันอย่างกว้างขวางในประเทศจีน และในประเทศอื่น ๆ ที่อยู่ในขอบเขตแห่งอิทธิพลของวัฒนธรรมจีน สัทธรรมปุณฑริกสูตรภาษาจีนฉบับนี้เป็นที่ยอมรับกันทั่วไปว่า เป็นฉบับที่เชื่อถือได้มากที่สุด และใช้ถ้อยคำที่สละสลวยที่สุด และจากฉบับนี้นี่เองที่ได้นำมาใช้เป็นต้นฉบับในการแปลเป็นภาษาอังกฤษครั้งนี้,,,,,,,,,,,,,,,,,,,,
1,Translator’s Introduction / คํานําของผู้แปลฉบับภาษาอังกฤษ,TI-003,,ii,"In recent years several Sanskrit texts of the Lotus Sutra, titled Saddharma-pundarika Sutra (The Lotus Sutra of the Wonderful Law), have been discovered in Nepal, Central Asia, and Kashmir. Some appear to have been copied in the eleventh century or later, some as early as the fifth or sixth century. Though the newer Sanskrit versions in particular differ considerably in places from the Kumarajiva translation, being often more verbose in expression, fragments of one of the oldest versions extant offer clear proof of the accuracy of his translation. This suggests that the text Kumarajiva followed was early in date, and may in fact have been quite close to the original version.",ในเวลาหลายปีไม่นานมานี้ คัมภีร์ภาษาสันสกฤตหลายฉบับที่ใช้ชื่อ “สัทธรรมปุณฑริกสูตร” หรือ “พระสูตรดอกบัวแห่งธรรมมหัศจรรย์” ได้ถูกค้นพบในประเทศเนปาล ในเอเชียกลาง และในแคว้นแคชเมียร์ บางฉบับปรากฏว่าถูกคัดลอกในคริสต์ศตวรรษที่ ๑๑ หรือหลังจากนั้น แม้ว่าจะมีบางฉบับที่ถูกคัดลอกมาก่อนหน้านั้น คือในราวคริสต์ศตวรรษที่ ๕ หรือที่ ๖ แล้ว พระสูตรฉบับภาษาสันสกฤตเหล่านี้มีที่แตกต่างจากฉบับแปลของพระกุมารชีวะค่อนข้างมาก ในการแสดงออกมักใช้ถ้อยคำฟุ่มเฟือยเกินไป ซึ่งเป็นการบอกเป็นนัยว่าต้นฉบับภาษาสันสกฤตที่พระกุมารชีวะใช้นั้นเป็นฉบับที่มีมาก่อน และตามความเป็นจริงอาจใกล้เคียงกับต้นฉบับดั้งเดิมก็ได้,,,,,,,,,,,,,,,,,,,,
1,Translator’s Introduction / คํานําของผู้แปลฉบับภาษาอังกฤษ,TI-004,,ii,"The Lotus Sutra, as just mentioned, was at an early date translated into Chinese, as well as into Tibetan, and in later centuries into Xi Xia, Mongol, Manchu, Korean, and Japanese. In recent years several translations into English and other European languages have appeared; now it is established as an important text of world literature.",ดังได้กล่าวมาแล้วว่า ในสมัยแรก ๆ สัทธรรมปุณฑริกสูตรได้ถูกแปลเป็นภาษาจีนรวมทั้งภาษาธิเบต และในศตวรรษต่อ ๆ มาได้แปลเป็นภาษาซีเซี่ย มองโกล แมนจู เกาหลี และญี่ปุ่น เมื่อไม่กี่ปีมานี้ก็ได้ถูกแปลเป็นภาษาอังกฤษและภาษายุโรปอื่น ๆ อีกหลายครั้ง ในปัจจุบันสัทธรรมปุณฑริกสูตรนี้ได้ถูกยอมรับให้เป็นหนังสือสำคัญแห่งโลกวรรณคดีไปแล้ว,,,,,,,,,,,,,,,,,,,,
2,Early Buddhism/พุทธศาสนาในสมัยต้น,EB-001,,iii,"Gautama, or Shakyamuni Buddha, the founder of Buddhism, appears to have lived in India sometime around the sixth or fifth century bce. Though it is difficult to describe his doctrines in detail, Buddhologists customarily accept several formulas as representative of his teachings. Most famous of these are the so-called four noble truths, which are referred to several times in the Lotus Sutra. These teach that (1) all existence in the saha world, the world in which we live at present, is marked by suffering; (2) that suffering is caused by craving; (3) that by doing away with craving one can gain release from suffering and reach a state of peace and enlightenment, often called nirvana; (4) that there is a method for achieving this goal, namely, the discipline known as the eightfold path. This is a set of moral principles enjoining one to cultivate right views, right thinking, right speech, right action, right way of life, right endeavor, right mindfulness, and right meditation.",พระสมณโคตมะ หรือ พระศากยมุนีพุทธะ ผู้ก่อตั้งพุทธศาสนาทรงมีพระชนม์ชีพอยู่ในประเทศอินเดียในราวศตวรรษที่ ๖ หรือ ที่ ๕ ก่อนคริสตกาล ถึงแม้ว่าจะเป็นการยากที่จะอธิบายคำสอนของพระองค์ให้ละเอียดได้ก็ตาม แต่ตามประเพณีแล้ว นักปราชญ์ทางพุทธศาสตร์ยอมรับหลายพระสูตรว่าเป็นตัวแทนคำสอนของพระองค์ ในจำนวนคำสอนเหล่านี้ คำสอนที่มีชื่อเสียงมากที่สุดได้แก่คำสอนที่ชื่อว่า อริยสัจ ๔ ซึ่งมีการกล่าวถึงหลายครั้งในสัทธรรมปุณฑริกสูตร อริยสัจ ๔ สอนว่า (๑) การมีชีวิตอยู่ในสหาโลก ซึ่งก็คือโลกที่เราอาศัยอยู่ในปัจจุบันนี้นั้น ล้วนเป็นความทุกข์ (๒) ความทุกข์นี้มีตัณหาคือความอยากได้เกินไปเป็นเหตุ (๓) ผู้ใดกำจัดตัณหาได้หมด เขาสามารถถึงความหลุดพ้นจากความทุกข์ และเข้าถึงสภาวะแห่งความสงบและความรู้แจ้งหรือการตรัสรู้ ซึ่งมักเรียกกันว่านิพพาน (๔) มีวิธีการหนึ่งเพื่อการบรรลุเป้าหมายนี้ นั่นคือระเบียบวินัยที่มีชื่อว่า มรรคมีองค์ ๘ หลักศีลธรรมชุดนี้ กำหนดให้ผู้ปฏิบัติทำการฝึกฝนตนเองให้มีความเห็นถูกต้อง ความคิดถูกต้อง วาจาถูกต้อง การกระทำถูกต้อง การมีอาชีพถูกต้อง ความพยายามถูกต้อง สติระลึกถูกต้อง และสมาธิตั้งใจถูกต้อง,,,,,,,,,,,,,,,,,,,,
2,Early Buddhism/พุทธศาสนาในสมัยต้น,EB-002,,iv,"Another doctrine, also touched on in the Lotus Sutra, is that of the twelve-linked chain of causation, or dependent origination, which illustrates step by step the causal relationship between ignorance and suffering. The purpose of the doctrine, like that of the four noble truths, is to wake one to the true nature of reality and help one to achieve emancipation from ignorance and suffering.",คำสอนอีกชุดหนึ่งที่สัทธรรมปุณฑริกสูตรกล่าวถึงคือ ปฏิจจสมุปบาท ๑๒ หรือ ๑๒ ห่วงโซ่แห่งความสัมพันธ์ระหว่างเหตุกับผล หรือการบังเกิดขึ้นโดยการอาศัยซึ่งกันและกัน ซึ่งเป็นคำสอนที่แสดงให้เห็นเหตุปัจจัยสัมพันธ์กันเป็นขั้น ๆ ระหว่างความไม่รู้หรืออวิชชากับความทุกข์ ความมุ่งหมายของคำสอนชุดนี้ก็เช่นเดียวกันกับคำสอนอริยสัจ ๔ กล่าวคือเพื่อที่จะทำให้ผู้ปฏิบัติสำนึกรู้ถึงธรรมชาติแท้ของความเป็นจริง และช่วยให้ผู้ปฏิบัติบรรลุความหลุดพ้นจากอวิชชา และความทุกข์นั่นเอง,,,,,,,,,,,,,,,,,,,,
2,Early Buddhism/พุทธศาสนาในสมัยต้น,EB-003,,iv,"In order to pursue the kind of strenuous discipline needed to gain such release, it was thought all but imperative that one leave secular life and become a member of the Buddhist Order, which consisted of both monks and nuns. There, free from family entanglements and worldly concerns, one could devote oneself to a life of poverty, celibacy, and religious study and discipline, supported by the alms of the lay community. Lay believers could acquire religious merit by assisting the Order, observing the appropriate rules of moral conduct, and carrying out devotional practices such as paying obeisance at the stupas, or memorial towers, that housed the relics of the Buddha. But it was thought that they would have to wait until future existences before they could hope to gain full release from suffering.",ในการที่จะปฏิบัติตามหลักวินัยที่เข้มงวด อันเป็นสิ่งจำเป็นเพื่อการบรรลุความหลุดพ้นดังกล่าวได้นั้น ผู้ปฏิบัติจำเป็นจะต้องละทิ้งชีวิตทางโลกและเข้าเป็นสมาชิกของคณะสงฆ์ ซึ่งประกอบด้วยภิกษุและภิกษุณี ในภาวะนั้นด้วยการสนับสนุนสิ่งของบริจาคจากชาวบ้านที่เป็นฆราวาส ทำให้ผู้ปฏิบัติเป็นอิสระจากความผูกพันกับครอบครัวและความห่วงใยต่าง ๆ ทางโลก อันสามารถที่จะอุทิศตนให้กับชีวิตแห่งความไม่มีทรัพย์ ความเป็นคนโสด การศึกษาธรรม และการปฏิบัติวินัยได้อย่างเต็มที่ ส่วนผู้นับถือฆราวาสก็สามารถได้บุญกุศลทางศาสนาด้วยการให้ความช่วยเหลือแก่คณะสงฆ์ รักษาศีล และปฏิบัติธรรมตามความเหมาะสม และด้วยการปฏิบัติความศรัทธาต่าง ๆ เช่น การบูชาหอสถูปหรือหออนุสรณ์ที่บรรจุพระบรมสารีริกธาตุของพระพุทธะเป็นต้น แต่เป็นที่เชื่อกันว่าพวกเขาจะต้องคอยจนกระทั่งถึงชาติอนาคต ก่อนที่พวกเขาจะสามารถหวังที่จะได้รับการปลดปล่อยจากความทุกข์ได้อย่างสมบูรณ์,,,,,,,,,,,,,,,,,,,,
2,Early Buddhism/พุทธศาสนาในสมัยต้น,EB-004,,v,"Buddhism, it should be noted, took over from earlier Indian thought the belief in karma. According to this belief, all a one’s moral actions, whether good or bad, produce definite effects in one’s life, though such effects may take some time before manifesting themselves. According to the Indian view, living beings pass through an endless cycle of death and rebirth, and the ill effects of an evil action in one’s life may not become evident until some future existence; but that they will appear eventually is inescapable. Hence only by striving to do good in one’s present existence can one hope to escape even greater suffering in a future life.",พึงสังเกตว่า พุทธศาสนานั้น ได้ยอมรับเอาความเชื่อเรื่องกรรมจากความคิดของคนอินเดียโบราณเข้าไว้ด้วย ตามความเชื่อนี้ ถือว่าการกระทำทางศีลธรรมของบุคคลทั้งหมด ไม่ว่าดีหรือชั่ว ย่อมก่อให้เกิดผลที่แน่นอนในชีวิตของเขา ถึงแม้ว่าอาจจะต้องใช้เวลาอยู่บ้างกว่าที่ผลนั้นจะแสดงให้ปรากฏออกมา ตามความคิดของคนอินเดียเชื่อว่าสรรพสัตว์จะต้องวนเวียนอยู่ในวัฏจักรแห่งการตายและการเกิดใหม่โดยไม่มีที่สิ้นสุด และผลร้ายของการกระทำความชั่วในชาติหนึ่ง อาจจะยังไม่ปรากฏให้เห็นชัดเจนกระทั่งถึงชาติใดชาติหนึ่งในอนาคต แต่จะอย่างไรก็ตาม ในที่สุด ผลร้ายนั้นก็จะต้องปรากฏออกมาอย่างไม่มีทางหลีกเลี่ยงได้ ดังนั้นด้วยความพยายามที่จะทำแต่ความดีในชาติปัจจุบันนี้เท่านั้น ที่เขาสามารถหวังจะหลีกเลี่ยงความทุกข์ที่หนักกว่าในชีวิตชาติหน้าได้,,,,,,,,,,,,,,,,,,,,
2,Early Buddhism/พุทธศาสนาในสมัยต้น,EB-005,,v,"Buddhism vehemently denied that there is any individual soul or personal identity that passes over from one existence to the next—to suppose there is is simply to open the way for further craving—but it did accept the idea of rebirth or transmigration, and taught that the circumstances or realm into which a being is reborn is determined by the good or bad acts done by that being in previous existences. This meant, among other things, that one did not necessarily have to struggle for release from suffering within a single lifetime, but could work at the goal of salvation step by step, performing good moral and devotional acts that would insure one of rebirth in more favorable circumstances in the future, and in this way gradually raising one’s level of spiritual attainment.",พุทธศาสนาปฏิเสธอย่างแข็งขันว่า ไม่มีวิญญาณแต่ละคน หรือเอกลักษณ์ส่วนบุคคลใด ๆ ที่ออกจากชีวิตหนึ่งไปยังชีวิตต่อไป การที่คิดว่ามีวิญญาณ ก็เพียงเพื่อที่จะเปิดทางให้กับความอยากได้ต่อไปอีก แต่พุทธศาสนาก็ยอมรับความคิดเรื่องการเกิดใหม่ หรือการเวียนว่ายตายเกิด และได้สอนว่า สภาพการณ์แวดล้อมหรือภพภูมิที่ชีวิตจะไปเกิดใหม่ ถูกกำหนดไว้โดยกรรมดีหรือกรรมชั่วที่ชีวิตนั้นได้กระทำไว้ในชาติก่อน ๆ เรื่องนี้จึงมีความหมายว่า บุคคลไม่จำเป็นที่จะต้องขวนขวายเพื่อความหลุดพ้นจากความทุกข์ภายในชั่วชีวิตเดียว แต่สามารถทำงานมุ่งเป้าหมายเพื่อความหลุดพ้นจากความทุกข์เป็นขั้น ๆ ไป โดยการปฏิบัติศีลธรรมที่ดีและการกระทำที่เกี่ยวกับการอุทิศตนต่าง ๆ ที่จะให้ความมั่นใจได้ว่า เขาจะได้เกิดใหม่ในสภาพการณ์แวดล้อมที่น่าพึงพอใจกว่าในอนาคต และในแนวทางนี้ ระดับการบรรลุทางจิตของเขาจะค่อย ๆ ยกสูงขึ้นตามลำดับ,,,,,,,,,,,,,,,,,,,,
2,Early Buddhism/พุทธศาสนาในสมัยต้น,EB-006,,vi,"The tenets and practices of the religion I have described above are often referred to as Hinayana Buddhism. But Hinayana, which means “lesser vehicle,” is a derogatory term, applied to early Buddhism by a group within the religion that called itself Mahayana, or the “great vehicle,” and represented its doctrines as superior to and superseding those of earlier Buddhism. In keeping with the spirit of religious tolerance and mutual understanding that prevails in most quarters today, writers usually try to avoid use of the term “Hinayana,” instead referring to the earlier form of Buddhism as “Theravada,” or “Teachings of the Elders,” which is the name used by the branch of it that continues in existence today. This is the form of Buddhism that prevails at present in Sri Lanka, Myanmar, Thailand, Cambodia, and Laos.",ความเชื่อและการปฏิบัติของศาสนาที่ข้าพเจ้าได้บรรยาย มาข้างต้นนั้น มักเรียกกันว่า พุทธศาสนานิกายหินยาน แต่คำว่า “หินยาน” ซึ่งแปลว่า “ยานเล็ก” นั้น เป็นคำที่มีความหมายไปทางด้อยมากกว่า เป็นคำที่คนกลุ่มใหม่ที่ก่อตัวขึ้นภายในวงการพุทธศาสนาเองใช้เรียกพุทธศาสนาสมัยแรก ๆ คนกลุ่มใหม่นี้เรียกกลุ่มของตนเองว่า “มหายาน” หรือ “ยานใหญ่” และคำนี้ยังใช้แทนคำสอนของกลุ่มตนที่ถือว่าเป็นคำสอนที่สูงกว่า และเอาคำสอนนี้เข้าแทนที่คำสอนของพุทธศาสนาสมัยแรก แต่เพื่อให้สอดคล้องกับความมีใจกว้างทางศาสนาและความเข้าใจซึ่งกันและกัน อันเป็นที่ยอมรับกันอยู่ทั่วไปเกือบทุกภูมิภาคในทุกวันนี้ ผู้เขียนส่วนมากมักจะพยายามที่จะหลีกเลี่ยงที่จะใช้คำว่า “หินยาน” โดยที่เมื่อต้องการจะกล่าวถึงพุทธศาสนาสมัยแรก ๆ จะใช้แทนด้วยคำว่า “เถรวาท” หรือ “คำสอนของพระเถระ” ซึ่งเป็นชื่อที่ใช้เรียกพุทธศาสนานิกายหนึ่งที่ยังมีแพร่หลายอยู่ในทุกวันนี้ คือพุทธศาสนาที่มีรูปแบบตามที่นับถือกันอยู่ทั่วไปในประเทศศรีลังกา พม่า ไทย กัมพูชา และลาว,,,,,,,,,,,,,,,,,,,,
